demo[ZCTA5],[Mexicanos],[Negros],[Blancos],[Latinos],[Asiaticos],[Otros - no hispanos]
84765,95,0,6198,6,143,238
61087,24,14,1654,44,18,39
43549,26,4,1360,0,1,5
13493,0,1,1710,14,2,48
53531,31,109,4215,36,10,136
82501,1623,128,14520,218,49,2989
15077,0,0,142,0,1,0
84766,0,0,237,0,0,0
30317,146,6385,5704,344,228,271
31314,122,421,769,186,62,76
13492,0,60,11285,55,70,46
64449,0,3,519,0,0,0
60617,26569,44507,5812,2478,90,546
44231,32,22,8468,78,14,97
82450,0,0,97,0,0,0
15078,0,0,361,0,0,0
84767,54,0,455,13,13,30
13491,13,15,3324,45,23,88
35548,21,0,1732,0,0,9
65571,0,18,2139,4,0,54
53530,348,9,4243,0,5,34
54463,0,0,613,18,2,17
84770,4814,535,32664,2261,189,1384
30316,956,17197,11328,913,513,747
64448,0,0,897,0,0,0
64455,0,0,358,0,0,10
30322,74,461,1187,156,869,120
31307,0,86,1010,67,0,0
13617,36,341,10483,294,119,210
31301,198,2078,1663,335,14,180
54455,66,71,16656,81,382,154
82633,513,1,9096,189,123,90
44214,15,2,2206,0,17,9
15061,67,400,11556,25,35,280
53541,9,5,755,2,12,6
30328,1481,4803,23315,1266,4053,1080
84747,44,10,969,1,12,8
13616,9,350,1390,213,148,34
82630,0,0,62,0,0,0
65557,0,0,91,0,0,0
64461,9,0,625,2,0,18
15062,95,993,6023,73,38,308
61080,1043,214,8648,232,39,171
84749,54,0,307,0,4,8
13615,0,27,1067,0,0,0
31302,211,545,7661,59,25,101
82620,0,0,202,0,0,8
53540,0,0,212,0,0,10
44215,0,7,2191,17,12,75
30327,214,1139,19544,608,1316,299
84750,2,0,546,5,0,1
43557,339,327,2505,64,9,66
84746,31,0,1273,0,13,7
64463,0,1,1502,17,11,15
65556,166,118,5510,81,68,105
31217,56,11285,5752,127,33,218
82637,201,0,3532,191,0,278
43558,447,132,11439,188,29,73
54454,33,2,1377,9,0,6
13620,12,8,2118,36,0,8
84743,0,0,10,0,0,0
65555,4,0,1152,25,0,19
64465,68,79,4432,40,20,105
82636,133,79,3661,81,134,90
61079,6,0,222,0,3,0
13619,134,239,9841,292,68,289
43556,154,2,1575,43,15,24
15059,147,719,3070,0,0,67
30329,7757,4229,11270,1779,2093,1358
31220,247,4596,7926,278,687,157
44212,288,522,41304,768,694,626
35554,2,33,939,0,13,4
60621,599,29753,383,216,62,370
53543,9,21,1542,18,9,61
36005,9,699,926,20,26,0
84745,157,58,3702,116,0,179
13618,26,5,1722,2,0,32
82635,0,0,229,12,0,0
15060,4,0,775,4,0,3
84744,24,16,277,7,0,6
13614,0,0,242,0,0,14
64459,6,0,467,0,0,0
54456,116,46,5544,6,70,88
35552,0,24,833,0,6,4
15066,98,906,11327,31,1,324
30324,2249,3849,15039,1260,2375,1199
13607,0,46,1587,13,11,13
82523,23,0,791,1,0,55
53537,0,0,672,0,0,20
